Date,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA
2007-12-10,8.607002258300781,8.740913556777986,8.434214416301474,8.54220692054072,13067800
2007-12-11,8.572443008422852,8.92989868760394,8.562724080428042,8.650197728050367,26589600
2007-12-12,9.179360389709473,9.275473626700114,8.720392370224,8.78518769054439,42108200
2007-12-13,8.930976867675781,9.178279720858846,8.851062671214668,8.909378703416179,23742200
2007-12-14,8.752791404724121,9.125365155469265,8.741991496885591,9.01737266842229,19645800
2007-12-17,8.298142433166504,8.693395337143,8.279783907834428,8.63399913881299,31566000
2007-12-18,8.509809494018555,8.590803870583766,8.285184891937524,8.532487820586725,26660800
2007-12-19,8.711751937866211,8.783027360115986,8.509806555992757,8.569201917283783,21279200
2007-12-20,9.075687408447266,9.075687408447266,8.747390196046569,8.82298459656899,23440800
2007-12-21,9.182602882385254,9.339192514341365,9.125366984604469,9.298154833730647,18418600
2007-12-26,9.42774486541748,9.42774486541748,9.212839213476014,9.35214962679337,17441600
2007-12-27,9.324073791503906,9.491462527253756,9.230120826308513,9.449345510321157,15286000
2007-12-28,9.546539306640625,9.546539306640625,9.27331835216768,9.308955258985945,26339200
2008-01-02,9.395347595214844,9.475261815327846,9.277636164502272,9.394267439507027,16167200
2008-01-03,9.244154930114746,9.422342663900299,9.243074774757332,9.362946477999404,14521200
2008-01-04,8.790589332580566,9.325151857812095,8.736593084621125,9.24955744023582,25543600
2008-01-07,8.532485961914062,8.822985168983275,8.490368961188095,8.797067204825115,20632600
2008-01-08,9.001172065734863,9.137242806455095,8.66639557887334,8.671795531853828,21824200
2008-01-09,9.170721054077148,9.170721054077148,8.882381334926654,8.974174776643972,24218400
2008-01-10,9.082167625427246,9.2301176232573,8.894260936326615,9.177201537459444,23222200
2008-01-11,8.807867050170898,9.101606749109026,8.807867050170898,8.986054820003528,15712000
2008-01-14,8.7905855178833,8.932597025516097,8.714702137519835,8.901159388775,14809800
2008-01-15,8.403580665588379,8.713619969942128,8.368890993698932,8.672426243031854,24281400
2008-01-16,8.087035179138184,8.423091442251764,7.929847825653915,8.265904088767495,33726000
2008-01-17,7.680516242980957,8.195441478547268,7.643658833637796,8.085951881090224,33369600
2008-01-18,7.783504009246826,7.929851057842688,7.49622968300035,7.847462765043845,26318600
2008-01-21,7.205704212188721,7.382404646356181,7.176434302640791,7.339042338142325,26806000
2008-01-22,7.909255504608154,7.936356846452508,7.295681555326987,7.425767665352959,39480000
2008-01-23,7.773744583129883,7.816022587333064,7.448528657218103,7.744475513707244,27566800
2008-01-24,8.319025039672852,8.341790060400864,7.929850290407632,8.07619732484032,27057400
2008-01-28,8.766739845275879,8.766739845275879,8.13148450832362,8.13256796619844,28324600
2008-01-29,8.759151458740234,8.932599830513224,8.630148844546383,8.851295828707096,23728000
2008-01-30,8.95753288269043,8.95753288269043,8.623645066438257,8.650746401245334,17086600
2008-01-31,8.715788841247559,8.726629209013048,8.489221267733722,8.683266910884045,33721600
2008-02-01,8.856712341308594,8.943436908826957,8.65074294081933,8.93801631320702,20571400
2008-02-06,8.542341232299805,8.637737634978183,8.498978930330681,8.558601371854497,14050200
2008-02-07,8.807930946350098,8.900075289298547,8.493555399467004,8.533665659674442,26069400
2008-02-08,8.867555618286133,8.965119745858885,8.775410433474365,8.813352957604842,22950600
2008-02-11,9.016072273254395,9.091956510389537,8.897910845138913,8.953196975159685,19355600
2008-02-12,9.03449821472168,9.228543820508795,9.019321537358834,9.149408406697797,27611400
2008-02-13,9.166751861572266,9.20902986221429,9.020404872652424,9.084364429435745,24264800
2008-02-14,9.055096626281738,9.281664184639824,9.035583634782318,9.246974513870523,17719600
2008-02-15,8.975963592529297,9.04425866742849,8.88707123582218,8.98029907884624,13513400
2008-02-18,9.20903205871582,9.210116343548204,9.052928952599407,9.138569258883805,16422600
2008-02-19,9.24697494506836,9.36622064220672,9.193855738079765,9.270823422842408,21988000
2008-02-20,9.268656730651855,9.321775116593756,9.139654109154403,9.139654109154403,24647600
